campaign_id,campaign_name,campaign_type,start_date,end_date,target_segment,budget,impressions,clicks,conversions,conversion_rate,roi
22fc0845-70cc-4dda-ad0f-1e04db99730c,Weekend Bonanza 2022,Influencer Marketing,5/14/2021,5/28/2021,Home Improvement,46985.84,1385372,10899,329,3.02,223.56
0f9f8235-b50c-4127-937c-5a1a45fd9f71,Fall Sale 2021,Search Engine Marketing,7/31/2021,9/14/2021,Home Improvement,12684.09,748505,,2974,6.92,9810.99
adc7ef32-479d-49e2-95cf-258dcb6193b7,Weekend Extravaganza 2023,Radio Advertisement,3/31/2021,4/7/2021,Seniors (60+),59618.56,762891,1124,45,4,-69.02
61d4a246-a511-45e9-a070-c70a2423cc5c,VIP Special 2021,Online Display Ads,9/21/2021,10/5/2021,Kitchen Enthusiasts,21709.49,1576749,9504,262,2.76,305.57
248a17d2-cf4a-41c7-bd29-026b068cac18,Limited Time Bonanza 2021,Print Advertisement,8/5/2020,10/4/2020,Adults (26-40),48248.05,823406,5400,190,3.52,8.97
c97a0509-d382-4561-91ec-a6222a68fd01,Black Friday Special 2020,Influencer Marketing,7/9/2022,7/23/2022,Kitchen Enthusiasts,62819.66,4449491,9499,189,1.99,-31.81
94f7c731-d703-4f45-bea6-8bad1da841fb,Black Friday Extravaganza 2020,Email Marketing,6/15/2020,6/29/2020,West Coast,29567.53,2926153,84259,3039,3.61,2436.83
7d3ac782-2b61-42e6-9ae6-9f5f7b019434,Clearance Event 2021,Email Marketing,10/12/2021,10/26/2021,Home Improvement,,859205,24022,1143,4.76,1036.17
8b5d0307-5d82-444b-a427-925be4fcfcc3,Black Friday Sale 2021,Influencer Marketing,11/9/2021,12/24/2021,Adults (26-40),49509.08,2855238,2935,96,3.27,-50.03
2985e794-ed8c-46b9-91d1-b052bfdae49a,Flash Extravaganza 2023,Social Media,10/10/2021,10/17/2021,Young Adults (18-25),32328.47,644804,4175,146,3.5,63.24
88c9084c-bc99-445b-98b5-6c3c34259744,Fall Collection 2020,Online Display Ads,2/20/2021,4/21/2021,East Coast,36948.1,1876893,2705,129,4.77,1.74
0c7de89e-aba6-4df6-b76a-d50f3f5fb867,Limited Time Blowout 2020,Search Engine Marketing,1/18/2025,2/26/2025,Middle-aged (41-60),41806.13,3764537,,30865,12.63,11773.16
73a576ba-7465-44a1-b779-949e87bfc8d8,VIP Bonanza 2024,Influencer Marketing,9/18/2020,11/2/2020,Technology Enthusiasts,57749.11,658882,1067,30,2.81,-84.37
264f4b08-c816-447e-8e6c-db5b5d7114c5,Exclusive Collection 2024,,4/19/2020,4/26/2020,Technology Enthusiasts,17138.09,125872,3930,215,5.47,62.05
eae02689-7676-429b-adc9-235703811518,Summer Special 2024,TV Advertisement,6/29/2022,8/28/2022,Midwest,89558.81,4948697,18045,720,3.99,271.89
763bbec3-5737-4e26-bc22-a157d709f264,New Year Bonanza 2023,In-Store Promotion,11/9/2024,12/24/2024,Southern States,25282.6,907743,3887,1520,39.1,1890.77
aa0f2ebc-4d9c-4493-9d2f-ce80fa729982,Exclusive Bonanza 2022,Print Advertisement,12/20/2022,1/3/2023,Kitchen Enthusiasts,43309.54,3342409,12703,428,3.37,93.9
597f3c44-49c9-4d2a-bddd-8c616934c8f6,Black Friday Extravaganza 2023,Influencer Marketing,9/27/2023,10/11/2023,High-Value Customers,21197.95,1945452,8896,93,1.05,341.56
751d87f4-c7d1-4923-bd08-44963e0eab4b,Anniversary Special 2023,TV Advertisement,6/7/2023,6/14/2023,Middle-aged (41-60),130993.67,3124120,14219,586,4.12,95.15
8f8cbdaf-da5f-478e-99a6-bd36ffe08e77,Exclusive Promotion 2023,SMS Marketing,11/27/2023,12/27/2023,Kitchen Enthusiasts,26727.1,1686883,12059,472,3.91,647.2
a46c8f76-c7e4-43fb-bcea-3b134178e7fb,Holiday Collection 2020,Search Engine Marketing,3/3/2022,3/10/2022,New Customers,18066.65,721363,38987,3916,10.04,8409.83
f9fcda00-bff1-469d-a688-1b1ff553402b,Holiday Bonanza 2022,In-Store Promotion,11/22/2024,11/29/2024,All Customers,8661.33,299407,,195,39.63,236.26
a43e8a8c-0f96-40c2-9456-b6cdff6afac3,Weekend Collection 2020,Influencer Marketing,10/24/2022,12/8/2022,Southern States,70281.03,2467489,7328,336,4.59,23.34
54560f9e-114a-41da-9775-ae932ea549cb,New Year Sale 2020,Search Engine Marketing,3/26/2024,5/25/2024,Inactive Customers,47180.97,2526923,149983,21705,14.47,7946.05
ab819a82-dc51-4f12-b44f-9cc694bf2fab,New Year Collection 2021,Radio Advertisement,6/17/2021,6/24/2021,East Coast,125362.02,1140443,9844,108,1.1,-67.99
0a6c0dfa-8740-4ced-8d20-08ed838e912c,New Year Event 2021,In-Store Promotion,12/14/2020,2/12/2021,Young Adults (18-25),5011.24,409539,2871,649,22.61,1520.44
6d7d439f-f794-4254-a356-3ee927853d78,Black Friday Extravaganza 2022,Online Display Ads,4/14/2020,4/28/2020,East Coast,45314.64,1026072,6765,324,4.79,202.22
f9a3dcc4-9d7d-427b-badf-0a4f3d531290,Fall Promotion 2022,Online Display Ads,12/29/2023,2/27/2024,Adults (26-40),33128.5,1151619,2404,38,1.58,
91043867-83ed-4bca-8a7e-1ab64d71a506,Back to School Deals 2021,Online Display Ads,5/27/2024,7/26/2024,Inactive Customers,13175.08,219826,1731,49,2.83,45.89
4e5f1839-4d4a-43f4-acd5-25ae20c459e9,Clearance Collection 2021,Influencer Marketing,5/13/2022,8/11/2022,In-Store Shoppers,,1982184,12377,433,3.5,955.62
7f4c23bf-74f0-4ee7-8dab-2872ca4234fc,Clearance Promotion 2021,TV Advertisement,1/4/2021,1/18/2021,Inactive Customers,199238.42,10615343,42286,1149,2.72,-22.18
45bf7496-7f94-4163-ad86-d1c8b6a88c8a,Flash Bonanza 2023,Radio Advertisement,2/18/2023,3/20/2023,Southern States,100404.11,2770852,13359,453,3.39,-53.19
0be68843-5882-41f2-aafb-d95717708498,Black Friday Special 2023,Print Advertisement,11/10/2023,2/8/2024,Online Shoppers,68823.27,3566015,21611,732,3.39,85.07
731c46c4-396e-4c7e-91fb-6af66add3f04,VIP Collection 2024,Radio Advertisement,5/20/2020,5/27/2020,East Coast,142087.32,3028378,9504,182,1.91,-46.93
8a7e3b53-8386-42a8-a3b8-8a3c13071bbf,New Year Discount 2024,Print Advertisement,8/3/2022,10/2/2022,High-Value Customers,79211.67,4471886,30902,992,3.21,795.1
a64e4f51-0641-41ed-8966-522bb13a1b65,Anniversary Bonanza 2024,In-Store Promotion,3/7/2021,6/5/2021,Seniors (60+),24741.23,748664,6521,1724,26.44,3332.43
b2561359-bc93-47e4-a45c-9ae50248a610,Anniversary Event 2024,In-Store Promotion,2/1/2021,3/18/2021,East Coast,25694.56,1076214,5814,1421,24.44,678.24
49fe99c6-27c7-4a41-8ae7-c81a49bec3d5,,TV Advertisement,5/19/2020,8/17/2020,East Coast,103900.72,622957,2519,38,1.51,-92.62
cf2dfa54-404c-4418-8722-50131382926b,Winter Promotion 2022,,10/27/2020,1/25/2021,East Coast,26701.68,254493,845,216,25.56,206.9
fe321409-61d2-4f38-926b-effe7bbcaa36,Exclusive Sale 2020,In-Store Promotion,1/17/2023,2/16/2023,Seniors (60+),10475.28,916302,1955,641,32.79,2403.05
162cf546-eb1a-4abc-84d6-591b203a1095,VIP Blowout 2024,Social Media,5/24/2021,6/23/2021,Kitchen Enthusiasts,12237.21,1048047,19293,,1.74,875.33
047c8f98-2a6c-44e2-b009-73ec399bb262,Back to School Collection 2022,Email Marketing,2/20/2023,3/22/2023,Online Shoppers,24505.04,1212342,39283,2612,6.65,4554.54
a3129848-1b75-43db-9547-dad305e5e5c0,Exclusive Special 2020,In-Store Promotion,5/24/2024,8/22/2024,Inactive Customers,14376.99,806674,7766,2920,37.6,4439.81
e43e98ec-64be-4725-96f1-1621289bacb8,Winter Collection 2022,SMS Marketing,1/2/2024,1/16/2024,Loyal Customers,13080.46,396544,699,21,3,-42.29
01cf81a9-23b8-46ee-810b-14ecc90e8d02,Back to School Deals 2022,Radio Advertisement,9/19/2024,11/3/2024,East Coast,108048.97,5750593,,1203,2.24,208.26
38d960e0-eb21-4aa2-b4e1-4783085bfa81,Fall Event 2022,Search Engine Marketing,6/25/2020,8/24/2020,New Customers,25310.65,1782598,69846,7749,11.09,14649.02
d9dd9e70-e314-460c-96d8-f315db289480,New Year Special 2022,TV Advertisement,5/7/2023,7/6/2023,Midwest,65507.83,769782,2197,88,4.01,-32.97
25934dac-0eac-47e8-bc4a-7ee588fdc8e1,Limited Time Sale 2021,Online Display Ads,11/1/2021,12/31/2021,Online Shoppers,13865.94,382968,1738,37,2.13,-32.23
80108080-3ce9-4cb2-8430-5b577f768c73,Holiday Deals 2023,Influencer Marketing,7/23/2023,9/6/2023,Technology Enthusiasts,48103.87,926913,6539,323,4.94,99.65
038bb346-9db6-4560-ba78-27b418c966ac,Exclusive Extravaganza 2024,Radio Advertisement,5/1/2021,7/30/2021,Inactive Customers,111146.5,554209,766,12,1.57,-94.79
854871f9-ee3b-4c7d-8ea4-cd70ad409988,Summer Deals 2022,Search Engine Marketing,3/29/2024,5/13/2024,New Customers,38589.07,414932,24128,3220,13.35,2334.04
786abd6d-e85c-48da-9707-7137892d3997,Flash Sale 2020,Online Display Ads,8/18/2021,9/1/2021,Loyal Customers,44696.86,3883473,,859,2.45,288.88
8af947d0-9a2a-4bb1-8083-e91c1e0c44bd,Winter Special 2022,Email Marketing,5/21/2021,5/28/2021,Seniors (60+),25166.69,2067108,81859,4346,5.31,3393.77
4a28fb0a-3344-480c-87cf-1c922e1f2a99,Holiday Discount 2022,Search Engine Marketing,10/20/2023,11/3/2023,Technology Enthusiasts,35260.38,673406,52798,5912,11.2,5426.25
13458b14-1d05-479d-9a20-4fb8d1db50f2,VIP Extravaganza 2022,Influencer Marketing,8/19/2024,10/18/2024,Middle-aged (41-60),34572.01,1135683,10312,220,2.13,43.72
5f0e7e89-9fc0-41b3-9905-65cef461279d,Black Friday Collection 2023,Influencer Marketing,6/16/2024,6/30/2024,West Coast,74194.26,4278738,33109,1523,4.6,869.61
e61f0601-01f3-491e-bccc-bd0bf9d32fe6,Clearance Special 2020,SMS Marketing,5/10/2020,5/24/2020,East Coast,28644.94,1276888,11005,390,3.54,113.82
9685fc9f-03c9-4ebe-a56a-bcc25216546a,Anniversary Event 2020,Social Media,6/5/2020,9/3/2020,Young Adults (18-25),11643.06,385074,5337,139,2.6,175.37
72eb7c25-2d02-463f-9e38-76ddb236354e,Fall Bonanza 2024,Print Advertisement,4/18/2024,4/25/2024,All Customers,50831.2,3665422,23811,,1.08,67.97
91a1bb69-78ed-42c9-810a-69a31d97bb5c,Back to School Bonanza 2024,In-Store Promotion,10/6/2024,11/5/2024,East Coast,12656.4,1086381,5198,1409,,4610.23
69febf17-1e71-403a-9fc0-5d9fe06cd3e6,New Year Promotion 2021,In-Store Promotion,12/24/2022,1/7/2023,High-Value Customers,24340.88,319196,1146,230,20.07,397.94
3398c829-9f8a-4aef-b771-41e37228f98f,Limited Time Event 2023,Social Media,9/26/2023,10/26/2023,Southern States,15025.04,677445,12772,491,3.84,822.33
aa2660d4-9e7f-4c5d-a8a2-46b4abf953d4,Spring Promotion 2024,Print Advertisement,6/22/2020,9/20/2020,Loyal Customers,54228.74,5181268,20771,515,2.48,82.93
235d978a-91d1-40b4-be70-785d49a1878a,Exclusive Blowout 2021,Search Engine Marketing,7/15/2020,8/14/2020,All Customers,35931.32,2952329,165028,12200,7.39,11851.96
3542e4e4-d7cf-4e9e-8473-93078811b170,Summer Event 2021,Online Display Ads,3/4/2020,5/3/2020,Loyal Customers,36137.98,1722516,4675,118,2.52,40.08
8b7bed1f-75b3-41b8-99e7-f6b2e0939ba7,Exclusive Bonanza 2023,Influencer Marketing,5/4/2023,6/3/2023,Middle-aged (41-60),58672.4,2554191,6413,143,2.23,-29.05
1eb5ec7f-abfc-4f66-9064-b3fd95d1a195,New Year Bonanza 2021,In-Store Promotion,10/14/2020,10/21/2020,In-Store Shoppers,20549.06,117250,741,209,28.21,386.33
27c4c42d-e3ee-4e84-967d-1b1fe09fbd5e,Summer Bonanza 2022,Radio Advertisement,1/17/2024,1/31/2024,Kitchen Enthusiasts,99933.7,7323201,57645,950,1.65,291.27
9ff8aa36-1007-4099-a5bd-fe3344772484,Summer Event 2022,,6/1/2020,7/1/2020,Southern States,24548.16,271129,3542,155,4.38,42.04
489afdcd-64a1-486b-818e-37185bf87352,Winter Deals 2022,Online Display Ads,10/5/2024,10/12/2024,West Coast,35956.61,3103285,19735,936,4.74,1199.06
fdd902d9-c6af-42b8-9cd0-89414c896c4b,Flash Event 2024,Email Marketing,1/13/2025,1/20/2025,Southern States,19446.17,1537250,56055,2490,4.44,1684.02
6e279f55-d2e0-4540-916f-eb9017d0662b,Clearance Discount 2022,Online Display Ads,9/5/2020,9/12/2020,All Customers,21727.91,2153624,16545,639,3.86,679.22
91188f4f-426a-492b-b6b0-5783a8142306,Winter Special 2020,Radio Advertisement,8/12/2021,8/26/2021,High-Value Customers,66286.5,4869810,44210,2036,4.61,2586.57
736327b2-acd1-4006-b381-7475c5c1d908,VIP Bonanza 2022,TV Advertisement,8/22/2022,11/20/2022,Midwest,124039.19,4935110,5868,251,4.28,-0.2
34336829-01bb-4bf9-b3a4-eac2cea4f5d5,,Print Advertisement,5/20/2024,7/4/2024,Seniors (60+),77582.85,6531963,20489,719,3.51,204.35
d1b8ef62-c3eb-40e4-9b8d-7cca2d10e749,Limited Time Deals 2023,Email Marketing,8/10/2022,9/24/2022,Young Adults (18-25),6995.41,363471,11525,376,3.26,1838.24
44febcdd-01e2-4d69-94e0-34ed804d8488,Spring Special 2023,Radio Advertisement,10/16/2024,11/15/2024,Home Improvement,53108.96,1254433,7481,332,4.44,186.25
e19a9899-afca-432f-bf89-9503b89bd983,Limited Time Event 2022,Search Engine Marketing,2/1/2021,5/2/2021,Online Shoppers,31059.19,455153,22523,1542,6.85,957.42
a910a5e0-b762-4ea7-a49e-80c707c0147b,Spring Promotion 2024,Radio Advertisement,5/14/2023,6/28/2023,In-Store Shoppers,120819.71,4050106,40371,1671,4.14,295.36
bc514826-162e-486b-b12b-19796857e2dc,Back to School Deals 2020,Print Advertisement,8/18/2020,9/1/2020,Technology Enthusiasts,28574.47,1484317,11671,284,,361.43
23f8b4b2-ed67-41ee-960e-34670298be1c,Flash Deals 2022,Email Marketing,11/28/2023,12/12/2023,Southern States,27387.63,2609904,85870,5872,6.84,9972.45
2cac3e91-4a45-42e8-b683-6f5e697718b2,Fall Discount 2021,SMS Marketing,5/3/2023,7/2/2023,Kitchen Enthusiasts,22308.87,62998,452,16,3.54,-81.53
0796583d-28a2-4336-9ff0-081c519ad815,Fall Special 2023,TV Advertisement,3/25/2022,5/9/2022,Adults (26-40),62770.27,4124308,22385,705,3.15,345.06
b9bcbbf1-8a52-44b0-8c2d-9f0db6da72ad,Summer Bonanza 2022,Social Media,2/27/2022,5/28/2022,High-Value Customers,30911.91,1480260,28855,844,2.92,2211.8
a553cf2b-6b39-4759-a83b-1af013554356,New Year Discount 2024,In-Store Promotion,5/22/2021,6/21/2021,West Coast,26678.98,1840051,,4583,30.88,8027.18
21ffa1be-f531-4aa2-97a3-3bcd4739eb9a,Weekend Bonanza 2024,Print Advertisement,10/31/2024,11/30/2024,Middle-aged (41-60),74682.39,2780134,6892,166,2.41,-71.74
e9a4506a-a592-4914-a71b-4601082515a6,Weekend Collection 2024,Print Advertisement,8/5/2021,10/4/2021,New Customers,25394.1,2310050,7508,291,3.88,151.62
ad77a131-c901-465e-9139-65476a966592,Limited Time Bonanza 2020,TV Advertisement,10/30/2021,1/28/2022,Technology Enthusiasts,190445.44,6615617,44488,861,1.94,61.22
5bd58ad4-d87b-43d4-8186-19c8261e32c7,Holiday Collection 2023,In-Store Promotion,11/21/2023,11/28/2023,All Customers,7049.21,576291,1133,361,31.86,1817.79
d7367c3f-4bfe-4433-8007-268d4cc77c5c,VIP Special 2022,Social Media,4/25/2024,6/24/2024,East Coast,28914.44,2829480,50987,1744,3.42,
892301ca-40af-4858-9ee1-f895a303d4f0,Exclusive Bonanza 2024,,3/5/2023,3/12/2023,Adults (26-40),21566.18,1783369,9037,2638,29.19,5153.76
b8499835-5146-4e73-b610-1c22175302aa,Limited Time Blowout 2024,Online Display Ads,10/16/2021,12/15/2021,Middle-aged (41-60),19959.38,931021,5070,154,3.04,53.2
ec81ef16-c7f3-47a3-93ce-f4f31045269e,Weekend Special 2021,Print Advertisement,3/13/2024,4/27/2024,Loyal Customers,32511.89,1766305,3813,173,4.54,104.58
7b6cb69a-7e91-49c7-9454-27800056aada,Anniversary Promotion 2024,SMS Marketing,5/25/2024,6/24/2024,Young Adults (18-25),24049.86,2229022,9267,291,3.14,230.79
b61737de-8349-4e4f-82fe-f502c7fd18c3,Weekend Event 2021,TV Advertisement,7/29/2021,8/5/2021,Middle-aged (41-60),182981.44,17340675,31806,1292,4.06,76.54
840728c1-a06b-4026-b7c8-f27d7212d824,Black Friday Blowout 2021,Radio Advertisement,11/8/2020,11/22/2020,Adults (26-40),160998.44,9995958,99572,1970,1.98,206.66
9d353d4f-ae43-43fc-a345-68cdf66c59d2,Holiday Event 2023,Radio Advertisement,11/19/2022,1/3/2023,Adults (26-40),51215.09,1934603,18822,848,4.51,370.42
f3828530-dd86-4772-a498-b577d538f459,Holiday Deals 2022,Search Engine Marketing,11/7/2024,12/7/2024,Home Improvement,38661.94,1634263,70753,,8.43,5727.17
3927eedc-9ae4-4ca6-9020-6ca4278047e2,Holiday Bonanza 2020,Email Marketing,2/21/2023,3/23/2023,Midwest,6885.89,407681,10317,668,6.47,4190.16
1c0e15da-d05b-4c52-b766-a4022ff2db2e,Anniversary Event 2024,Influencer Marketing,11/8/2022,11/22/2022,High-Value Customers,58081.36,5436932,40815,939,2.3,2039.32
3f9103f4-f252-47bf-be20-980f892443dd,Summer Bonanza 2021,Online Display Ads,4/26/2024,6/25/2024,High-Value Customers,27051.81,2422681,11194,112,1,364.66
7541a068-d558-42f2-888a-511f728b9ac6,Exclusive Promotion 2022,Radio Advertisement,4/21/2022,4/28/2022,Loyal Customers,91227.42,4487914,29410,1322,4.5,198.29
39252361-8471-4883-bc9a-18b35de7570a,Anniversary Promotion 2023,Print Advertisement,7/24/2023,7/31/2023,West Coast,36208.23,2066219,9497,194,2.04,159.31
eff0fa9f-7d20-46cc-89d6-6cba7e20062d,Anniversary Special 2022,SMS Marketing,7/29/2021,9/12/2021,Kitchen Enthusiasts,19926.02,1083610,4999,185,3.7,132.02
20fe4ca5-c178-4603-91d0-10cca9b0efbb,Weekend Collection 2024,In-Store Promotion,1/19/2023,3/20/2023,Kitchen Enthusiasts,18484.93,319900,1446,319,22.06,160.33
e53690fb-4e3d-410b-ac37-a3f03f808530,Winter Promotion 2021,Online Display Ads,10/4/2022,10/11/2022,Loyal Customers,45597.13,1164240,5829,190,3.26,46.38
bad58a6a-51b7-4b82-93cd-f199baf8c4e0,Spring Event 2023,Radio Advertisement,1/4/2021,1/18/2021,Middle-aged (41-60),76717.41,1628488,14408,640,4.44,88.87
54265cb6-3bf8-4e6b-b978-5f3af3f84d87,Exclusive Collection 2021,SMS Marketing,12/22/2021,1/21/2022,Kitchen Enthusiasts,26011.18,989270,6728,81,1.2,-7.98
818079e3-9dec-4d6f-bc35-ac7e2f98ec04,Black Friday Promotion 2020,Print Advertisement,5/22/2023,5/29/2023,West Coast,75733.87,,3008,82,2.73,-73.87
6a34ca6c-b4eb-4a22-86ab-4142d2ba5b37,Limited Time Extravaganza 2023,Search Engine Marketing,8/12/2024,10/11/2024,West Coast,17402.4,1580372,84823,5543,6.53,6252.91
6402f7d9-e0fc-44e4-8f71-f880497b3e6d,,SMS Marketing,2/25/2023,3/27/2023,In-Store Shoppers,8468.46,384380,1115,19,1.7,-70.58
07ed1233-fa8f-482e-b347-f0c281020509,Winter Promotion 2024,Radio Advertisement,1/22/2022,3/8/2022,Home Improvement,174365.11,4707282,43825,2130,4.86,393.48
aa60967c-abe6-4c1d-a73b-f6bd869a322d,Fall Promotion 2020,Print Advertisement,9/5/2022,10/20/2022,Southern States,36526.94,,16783,708,4.22,416.44
a396a8e8-7901-43b9-b6bc-041eaee364bd,Fall Extravaganza 2021,Print Advertisement,5/6/2024,6/20/2024,New Customers,,4461354,27541,,4.85,276.37
b7c08521-1577-44d7-9d8e-c40a7afd9f7b,Black Friday Deals 2024,Online Display Ads,12/10/2022,1/9/2023,Technology Enthusiasts,47318.31,3019390,8619,182,2.11,-32.81
784b6f62-4b08-4937-8a42-d216096b4c57,Weekend Bonanza 2021,Online Display Ads,12/8/2020,12/15/2020,High-Value Customers,31615,2445884,19018,877,4.61,3566.87
b7a5e0eb-9070-4bd4-a75d-87abf84136aa,Anniversary Discount 2023,Influencer Marketing,1/28/2021,4/28/2021,Young Adults (18-25),55818.95,2577054,17162,480,2.8,89.42
500eb2cd-30af-49e0-8947-cbbdf7bd9819,Holiday Event 2022,Online Display Ads,6/14/2022,6/28/2022,Technology Enthusiasts,12099.25,65978,618,12,1.94,-83.92
03731181-15a1-41c1-88f5-72fe61631306,Back to School Bonanza 2023,In-Store Promotion,8/19/2022,8/26/2022,All Customers,26870.63,2322952,21235,5728,26.97,3157.43
50421298-a79c-4bf7-aa50-313122446963,Fall Promotion 2024,TV Advertisement,8/16/2022,9/30/2022,Online Shoppers,66486.45,4104122,37842,1502,3.97,975.84
f032d2bb-a307-4f8a-b1d5-0d5d94059247,Exclusive Event 2020,Email Marketing,3/8/2021,3/22/2021,In-Store Shoppers,16863.87,1358141,36788,936,2.54,1872.45
48ddef4d-27dd-4b5c-b804-2f0756a338e0,Holiday Promotion 2024,TV Advertisement,3/8/2021,6/6/2021,East Coast,184381.09,,169299,5847,3.45,777.08
65573b18-ab8e-4307-8215-33eed0ff5255,Winter Special 2020,SMS Marketing,10/31/2020,11/14/2020,New Customers,15812.09,530881,5147,251,4.88,596.12
91a8a684-1172-4a3d-a919-eb2db7f95bff,Summer Promotion 2023,Radio Advertisement,9/12/2022,11/11/2022,In-Store Shoppers,155319.11,7795559,69793,1394,2,208.61
a6949910-e478-4253-9292-fe1968908658,Fall Promotion 2023,Online Display Ads,7/10/2021,7/24/2021,Seniors (60+),40904.42,3773719,21213,625,2.95,213.82
af8996a0-16b2-46ab-a0df-bbace2347750,Flash Promotion 2024,Search Engine Marketing,6/17/2023,8/1/2023,Home Improvement,10384.13,763980,25949,2734,10.54,12610.91
